timestamp,open,high,low,close,volume
2025-06-24 04:00:00,740.1200,740.1200,703.5000,707.3600,1970
2025-06-24 04:01:00,707.2100,707.6300,706.5000,706.5600,969
2025-06-24 04:02:00,706.5600,706.5600,705.3500,705.6500,1039
2025-06-24 04:03:00,705.7000,705.7000,704.7100,705.2800,2166
2025-06-24 04:04:00,705.3800,705.4300,704.6200,705.1400,367
2025-06-24 04:05:00,705.0600,705.5600,705.0600,705.3800,498
2025-06-24 04:06:00,705.4900,705.5100,705.0400,705.3100,384
2025-06-24 04:07:00,705.3100,705.3300,704.5500,704.5500,1135
2025-06-24 04:08:00,704.4400,704.8200,703.4100,704.3500,1972
2025-06-24 04:09:00,704.0000,704.7200,703.4900,704.6800,459
2025-06-24 04:10:00,704.6700,704.7800,704.6000,704.7700,468
2025-06-24 04:11:00,704.6000,704.6800,704.2400,704.5200,205
2025-06-24 04:12:00,704.3000,704.6700,704.2800,704.5700,32
2025-06-24 04:13:00,704.5600,704.7800,704.4100,704.4100,641
2025-06-24 04:14:00,704.4100,704.5500,704.3700,704.4900,326
2025-06-24 04:15:00,704.5700,705.0000,704.5500,704.6700,412
2025-06-24 04:16:00,704.7600,704.7600,704.1200,704.1800,386
2025-06-24 04:17:00,704.1800,704.7400,704.1400,704.7400,267
2025-06-24 04:18:00,704.5300,704.7400,704.3800,704.4700,246
2025-06-24 04:19:00,704.4700,704.4700,704.1600,704.1600,80
2025-06-24 04:20:00,704.3700,704.5400,704.3300,704.3300,32
2025-06-24 04:21:00,704.3300,705.0000,704.2300,704.7400,1141
2025-06-24 04:22:00,704.9400,705.2700,704.3500,705.0800,728
2025-06-24 04:23:00,705.0800,705.2700,704.9200,705.0800,135
2025-06-24 04:24:00,705.2700,705.5600,705.2100,705.5500,949
2025-06-24 04:25:00,705.5000,705.5200,705.2800,705.3800,49
2025-06-24 04:26:00,705.5600,705.5600,705.3800,705.5600,457
2025-06-24 04:27:00,705.5600,705.8900,705.5600,705.8700,409
2025-06-24 04:28:00,705.7500,705.9000,705.6100,705.7500,64
2025-06-24 04:29:00,705.6600,706.0000,705.6600,705.9300,210
2025-06-24 04:30:00,705.9300,706.0000,705.2000,705.4600,259
2025-06-24 04:31:00,705.3800,705.4300,705.0600,705.3800,137
2025-06-24 04:32:00,705.1000,705.2400,704.9300,704.9300,148
2025-06-24 04:33:00,705.1500,705.3300,704.8100,705.2600,70
2025-06-24 04:34:00,705.1000,705.1000,704.7600,704.9500,106
2025-06-24 04:35:00,704.9800,705.0900,704.7900,704.8400,111
2025-06-24 04:36:00,704.9900,704.9900,704.9100,704.9800,30
2025-06-24 04:37:00,704.9800,705.0000,704.9000,704.9800,155
2025-06-24 04:38:00,704.9900,705.1800,704.8000,705.1000,559
2025-06-24 04:39:00,705.2100,705.2900,705.0000,705.1800,33
2025-06-24 04:40:00,705.1500,705.1500,704.9600,704.9600,18
2025-06-24 04:41:00,704.7000,704.8000,704.5000,704.5900,554
2025-06-24 04:42:00,704.5800,704.6000,704.3000,704.5400,186
2025-06-24 04:43:00,704.5900,704.6700,704.1000,704.2200,1388
2025-06-24 04:44:00,704.2800,704.3000,704.1300,704.3000,589
2025-06-24 04:45:00,704.2300,704.3000,704.0500,704.0500,43
2025-06-24 04:46:00,704.1100,704.2800,703.9100,704.0700,321
2025-06-24 04:47:00,704.0400,704.0800,703.9900,703.9900,84
2025-06-24 04:48:00,703.9200,704.1400,703.9000,704.0200,258
2025-06-24 04:49:00,703.9500,704.1300,703.9000,703.9400,371
2025-06-24 04:50:00,704.2300,704.2300,703.9800,704.0500,15
2025-06-24 04:51:00,704.1100,704.2900,704.1100,704.2900,39
2025-06-24 04:52:00,703.9300,704.0900,703.9000,704.0500,143
2025-06-24 04:53:00,704.0800,704.2500,704.0000,704.2300,195
2025-06-24 04:54:00,704.2300,704.2400,704.1900,704.1900,41
2025-06-24 04:55:00,704.1000,704.1000,704.1000,704.1000,1
2025-06-24 04:56:00,704.1700,704.1700,703.9200,703.9300,430
2025-06-24 04:57:00,704.0100,704.1300,703.9400,703.9400,75
2025-06-24 04:58:00,704.0200,704.2900,704.0200,704.2300,592
2025-06-24 04:59:00,704.1600,704.1600,704.1300,704.1300,12
2025-06-24 05:00:00,704.2300,704.3400,704.2000,704.3000,1023
2025-06-24 05:01:00,704.3000,704.3000,704.1600,704.3000,264
2025-06-24 05:02:00,704.3000,704.4500,704.2900,704.4500,335
2025-06-24 05:03:00,704.4500,704.8500,704.4500,704.8500,90
2025-06-24 05:04:00,705.0900,706.0000,704.8400,705.9700,2710
2025-06-24 05:05:00,705.6900,706.1300,705.5600,705.8100,616
2025-06-24 05:06:00,705.4800,705.7000,705.4700,705.5200,132
2025-06-24 05:07:00,706.0100,706.3000,705.7000,705.7000,427
2025-06-24 05:08:00,706.0000,706.0500,706.0000,706.0500,101
2025-06-24 05:09:00,706.0500,706.1200,705.7700,705.8400,403
2025-06-24 05:10:00,706.1000,706.1200,706.0300,706.0500,108
2025-06-24 05:11:00,705.8100,705.8100,705.7000,705.7400,247
2025-06-24 05:12:00,705.4600,705.6900,705.3800,705.3800,42
2025-06-24 05:13:00,705.6600,705.7600,705.4400,705.4700,310
2025-06-24 05:14:00,705.4200,705.7700,705.2500,705.2500,737
2025-06-24 05:15:00,705.2800,705.2800,705.2800,705.2800,24
2025-06-24 05:16:00,705.5900,705.7700,705.4400,705.7700,91
2025-06-24 05:17:00,705.5600,705.5600,705.4800,705.4900,305
2025-06-24 05:18:00,705.5000,705.5000,705.4500,705.4500,66
2025-06-24 05:19:00,705.5000,706.1200,705.5000,706.1100,857
2025-06-24 05:20:00,706.0500,706.3500,706.0500,706.2500,665
2025-06-24 05:21:00,706.3500,706.4100,706.2400,706.2400,1394
2025-06-24 05:22:00,706.2500,706.2500,705.8500,705.8700,1371
2025-06-24 05:23:00,705.9400,706.2300,705.9200,706.0000,18
2025-06-24 05:24:00,706.0000,706.1800,705.9700,705.9700,21
2025-06-24 05:25:00,706.0000,706.2400,706.0000,706.1000,87
2025-06-24 05:26:00,706.3800,706.4000,706.1800,706.4000,331
2025-06-24 05:27:00,706.4000,706.5000,706.3600,706.5000,511
2025-06-24 05:28:00,706.8000,706.8000,706.4500,706.7700,38
2025-06-24 05:29:00,706.7900,706.7900,706.0400,706.6300,222
2025-06-24 05:30:00,706.5300,706.6800,706.2600,706.6800,36
2025-06-24 05:31:00,706.7000,706.9500,706.3000,706.9400,230
2025-06-24 05:32:00,706.5600,706.5800,706.5600,706.5800,4
2025-06-24 05:33:00,706.6500,706.6500,706.3300,706.3300,43
2025-06-24 05:34:00,706.4200,706.9800,706.4200,706.8000,97
2025-06-24 05:35:00,706.8000,706.9500,706.5900,706.9500,32
2025-06-24 05:36:00,706.5700,706.5700,705.9700,706.4000,1016
2025-06-24 05:37:00,706.1200,706.2300,706.0000,706.0000,56
2025-06-24 05:38:00,706.2400,706.2400,705.5900,705.8200,851
